high,mid,low,eval,batch_idx,new_instruction,original_instruction,structural_similarity,keyword_similarity
act,lexical,addition_deletion,0,0,gently open the middle drawer of the cabinet,open the middle drawer of the cabinet,0.9333333333333333,1.0
act,lexical,addition_deletion,0,1,slowly open the middle drawer of the cabinet,open the middle drawer of the cabinet,0.9333333333333333,1.0
act,lexical,addition_deletion,0,2,carefully open the middle drawer of the cabinet,open the middle drawer of the cabinet,0.9333333333333333,1.0
act,lexical,addition_deletion,0,3,quickly open the middle drawer of the cabinet,open the middle drawer of the cabinet,0.9333333333333333,1.0
act,lexical,addition_deletion,0,4,smoothly open the middle drawer of the cabinet,open the middle drawer of the cabinet,0.9333333333333333,1.0
act,lexical,addition_deletion,0,5,deliberately open the middle drawer of the cabinet,open the middle drawer of the cabinet,0.9333333333333333,1.0
act,lexical,addition_deletion,0,6,swiftly open the middle drawer of the cabinet,open the middle drawer of the cabinet,0.9333333333333333,1.0
act,lexical,addition_deletion,0,7,steadily open the middle drawer of the cabinet,open the middle drawer of the cabinet,0.9333333333333333,1.0
act,lexical,addition_deletion,0,8,silently open the middle drawer of the cabinet,open the middle drawer of the cabinet,0.9333333333333333,1.0
act,lexical,addition_deletion,0,9,forcefully open the middle drawer of the cabinet,open the middle drawer of the cabinet,0.9333333333333333,1.0
act,lexical,addition_deletion,1,0,Gently open the top drawer and put the bowl inside,open the top drawer and put the bowl inside,0.9473684210526316,1.0
act,lexical,addition_deletion,1,1,Open the top drawer and carefully put the bowl inside,open the top drawer and put the bowl inside,0.9473684210526316,1.0
act,lexical,addition_deletion,1,2,Slowly open the top drawer and put the bowl inside,open the top drawer and put the bowl inside,0.9473684210526316,1.0
act,lexical,addition_deletion,1,3,Open the top drawer and gently put the bowl inside,open the top drawer and put the bowl inside,0.9473684210526316,1.0
act,lexical,addition_deletion,1,4,Carefully open the top drawer and put the bowl inside,open the top drawer and put the bowl inside,0.9473684210526316,1.0
act,lexical,addition_deletion,1,5,Open the top drawer and slowly put the bowl inside,open the top drawer and put the bowl inside,0.9473684210526316,1.0
act,lexical,addition_deletion,1,6,Quickly open the top drawer and put the bowl inside,open the top drawer and put the bowl inside,0.9473684210526316,1.0
act,lexical,addition_deletion,1,7,Open the top drawer and steadily put the bowl inside,open the top drawer and put the bowl inside,0.9473684210526316,1.0
act,lexical,addition_deletion,1,8,Smoothly open the top drawer and put the bowl inside,open the top drawer and put the bowl inside,0.9473684210526316,1.0
act,lexical,addition_deletion,1,9,Open the top drawer and quickly put the bowl inside,open the top drawer and put the bowl inside,0.9473684210526316,1.0
act,lexical,addition_deletion,2,0,Gently push the plate to the front of the stove,push the plate to the front of the stove,0.9473684210526316,1.0
act,lexical,addition_deletion,2,1,Carefully push the plate to the front of the stove,push the plate to the front of the stove,0.9473684210526316,1.0
act,lexical,addition_deletion,2,2,Slowly push the plate to the front of the stove,push the plate to the front of the stove,0.9473684210526316,1.0
act,lexical,addition_deletion,2,3,Steadily push the plate to the front of the stove,push the plate to the front of the stove,0.9473684210526316,1.0
act,lexical,addition_deletion,2,4,Firmly push the plate to the front of the stove,push the plate to the front of the stove,0.9473684210526316,1.0
act,lexical,addition_deletion,2,5,Lightly push the plate to the front of the stove,push the plate to the front of the stove,0.9473684210526316,1.0
act,lexical,addition_deletion,2,6,Smoothly push the plate to the front of the stove,push the plate to the front of the stove,0.9473684210526316,1.0
act,lexical,addition_deletion,2,7,Quickly push the plate to the front of the stove,push the plate to the front of the stove,0.9473684210526316,1.0
act,lexical,addition_deletion,2,8,Deliberately push the plate to the front of the stove,push the plate to the front of the stove,0.9473684210526316,1.0
act,lexical,addition_deletion,2,9,Deftly push the plate to the front of the stove,push the plate to the front of the stove,0.9473684210526316,1.0
act,lexical,addition_deletion,3,1,carefully put the bowl on the plate,put the bowl on the plate,0.9230769230769231,1.0000001192092896
act,lexical,addition_deletion,3,2,gently put the bowl on the plate,put the bowl on the plate,0.9230769230769231,1.0000001192092896
act,lexical,addition_deletion,3,3,slowly put the bowl on the plate,put the bowl on the plate,0.9230769230769231,1.0000001192092896
act,lexical,addition_deletion,3,4,precisely put the bowl on the plate,put the bowl on the plate,0.9230769230769231,1.0000001192092896
act,lexical,addition_deletion,3,5,quickly put the bowl on the plate,put the bowl on the plate,0.9230769230769231,1.0000001192092896
act,lexical,addition_deletion,3,6,deliberately put the bowl on the plate,put the bowl on the plate,0.9230769230769231,1.0000001192092896
act,lexical,addition_deletion,3,7,securely put the bowl on the plate,put the bowl on the plate,0.9230769230769231,1.0000001192092896
act,lexical,addition_deletion,3,8,gingerly put the bowl on the plate,put the bowl on the plate,0.9230769230769231,1.0000001192092896
act,lexical,addition_deletion,3,9,firmly put the bowl on the plate,put the bowl on the plate,0.9230769230769231,1.0000001192092896
act,lexical,addition_deletion,3,10,swiftly put the bowl on the plate,put the bowl on the plate,0.9230769230769231,1.0000001192092896
act,lexical,addition_deletion,4,1,carefully put the bowl on the stove,put the bowl on the stove,0.9230769230769231,1.0000001192092896
act,lexical,addition_deletion,4,2,gently put the bowl on the stove,put the bowl on the stove,0.9230769230769231,1.0000001192092896
act,lexical,addition_deletion,4,3,slowly put the bowl on the stove,put the bowl on the stove,0.9230769230769231,1.0000001192092896
act,lexical,addition_deletion,4,4,quickly put the bowl on the stove,put the bowl on the stove,0.9230769230769231,1.0000001192092896
act,lexical,addition_deletion,4,5,deliberately put the bowl on the stove,put the bowl on the stove,0.9230769230769231,1.0000001192092896
act,lexical,addition_deletion,4,6,firmly put the bowl on the stove,put the bowl on the stove,0.9230769230769231,1.0000001192092896
act,lexical,addition_deletion,4,7,swiftly put the bowl on the stove,put the bowl on the stove,0.9230769230769231,1.0000001192092896
act,lexical,addition_deletion,4,8,steadily put the bowl on the stove,put the bowl on the stove,0.9230769230769231,1.0000001192092896
act,lexical,addition_deletion,4,9,purposefully put the bowl on the stove,put the bowl on the stove,0.9230769230769231,1.0000001192092896
act,lexical,addition_deletion,4,10,securely put the bowl on the stove,put the bowl on the stove,0.9230769230769231,1.0000001192092896
act,lexical,addition_deletion,5,0,Carefully put the bowl on top of the cabinet,put the bowl on top of the cabinet,0.9411764705882353,1.0000001192092896
act,lexical,addition_deletion,5,1,Gently put the bowl on top of the cabinet,put the bowl on top of the cabinet,0.9411764705882353,1.0000001192092896
act,lexical,addition_deletion,5,2,Slowly put the bowl on top of the cabinet,put the bowl on top of the cabinet,0.9411764705882353,1.0000001192092896
act,lexical,addition_deletion,5,3,Quickly put the bowl on top of the cabinet,put the bowl on top of the cabinet,0.9411764705882353,1.0000001192092896
act,lexical,addition_deletion,5,4,Cautiously put the bowl on top of the cabinet,put the bowl on top of the cabinet,0.9411764705882353,1.0000001192092896
act,lexical,addition_deletion,5,5,Deliberately put the bowl on top of the cabinet,put the bowl on top of the cabinet,0.9411764705882353,1.0000001192092896
act,lexical,addition_deletion,5,6,Swiftly put the bowl on top of the cabinet,put the bowl on top of the cabinet,0.9411764705882353,1.0000001192092896
act,lexical,addition_deletion,5,7,Softly put the bowl on top of the cabinet,put the bowl on top of the cabinet,0.9411764705882353,1.0000001192092896
act,lexical,addition_deletion,5,8,Firmly put the bowl on top of the cabinet,put the bowl on top of the cabinet,0.9411764705882353,1.0000001192092896
act,lexical,addition_deletion,5,9,Precisely put the bowl on top of the cabinet,put the bowl on top of the cabinet,0.9411764705882353,1.0000001192092896
act,lexical,addition_deletion,6,1,carefully put the cream cheese in the bowl,put the cream cheese in the bowl,0.9333333333333333,1.0000001192092896
act,lexical,addition_deletion,6,2,gently put the cream cheese in the bowl,put the cream cheese in the bowl,0.9333333333333333,1.0000001192092896
act,lexical,addition_deletion,6,3,slowly put the cream cheese in the bowl,put the cream cheese in the bowl,0.9333333333333333,1.0000001192092896
act,lexical,addition_deletion,6,4,quickly put the cream cheese in the bowl,put the cream cheese in the bowl,0.9333333333333333,1.0000001192092896
act,lexical,addition_deletion,6,5,deftly put the cream cheese in the bowl,put the cream cheese in the bowl,0.9333333333333333,1.0000001192092896
act,lexical,addition_deletion,6,6,swiftly put the cream cheese in the bowl,put the cream cheese in the bowl,0.9333333333333333,1.0000001192092896
act,lexical,addition_deletion,6,7,immediately put the cream cheese in the bowl,put the cream cheese in the bowl,0.9333333333333333,1.0000001192092896
act,lexical,addition_deletion,6,8,directly put the cream cheese in the bowl,put the cream cheese in the bowl,0.9333333333333333,1.0000001192092896
act,lexical,addition_deletion,6,9,simply put the cream cheese in the bowl,put the cream cheese in the bowl,0.9333333333333333,1.0000001192092896
act,lexical,addition_deletion,6,10,skillfully put the cream cheese in the bowl,put the cream cheese in the bowl,0.9333333333333333,1.0000001192092896
act,lexical,addition_deletion,7,0,carefully put the wine bottle on the rack,put the wine bottle on the rack,0.9333333333333333,1.0000001192092896
act,lexical,addition_deletion,7,1,gently put the wine bottle on the rack,put the wine bottle on the rack,0.9333333333333333,1.0000001192092896
act,lexical,addition_deletion,7,2,slowly put the wine bottle on the rack,put the wine bottle on the rack,0.9333333333333333,1.0000001192092896
act,lexical,addition_deletion,7,3,quickly put the wine bottle on the rack,put the wine bottle on the rack,0.9333333333333333,1.0000001192092896
act,lexical,addition_deletion,7,4,now put the wine bottle on the rack,put the wine bottle on the rack,0.9333333333333333,1.0000001192092896
act,lexical,addition_deletion,7,5,safely put the wine bottle on the rack,put the wine bottle on the rack,0.9333333333333333,1.0000001192092896
act,lexical,addition_deletion,7,6,finally put the wine bottle on the rack,put the wine bottle on the rack,0.9333333333333333,1.0000001192092896
act,lexical,addition_deletion,7,7,simply put the wine bottle on the rack,put the wine bottle on the rack,0.9333333333333333,1.0000001192092896
act,lexical,addition_deletion,7,8,firmly put the wine bottle on the rack,put the wine bottle on the rack,0.9333333333333333,1.0000001192092896
act,lexical,addition_deletion,7,9,securely put the wine bottle on the rack,put the wine bottle on the rack,0.9333333333333333,1.0000001192092896
act,lexical,addition_deletion,8,0,carefully put the wine bottle on top of the cabinet,put the wine bottle on top of the cabinet,0.9473684210526316,1.0000001192092896
act,lexical,addition_deletion,8,1,gently put the wine bottle on top of the cabinet,put the wine bottle on top of the cabinet,0.9473684210526316,1.0000001192092896
act,lexical,addition_deletion,8,2,slowly put the wine bottle on top of the cabinet,put the wine bottle on top of the cabinet,0.9473684210526316,1.0000001192092896
act,lexical,addition_deletion,8,3,quickly put the wine bottle on top of the cabinet,put the wine bottle on top of the cabinet,0.9473684210526316,1.0000001192092896
act,lexical,addition_deletion,8,4,safely put the wine bottle on top of the cabinet,put the wine bottle on top of the cabinet,0.9473684210526316,1.0000001192092896
act,lexical,addition_deletion,8,5,gingerly put the wine bottle on top of the cabinet,put the wine bottle on top of the cabinet,0.9473684210526316,1.0000001192092896
act,lexical,addition_deletion,8,6,steadily put the wine bottle on top of the cabinet,put the wine bottle on top of the cabinet,0.9473684210526316,1.0000001192092896
act,lexical,addition_deletion,8,7,swiftly put the wine bottle on top of the cabinet,put the wine bottle on top of the cabinet,0.9473684210526316,1.0000001192092896
act,lexical,addition_deletion,8,8,deftly put the wine bottle on top of the cabinet,put the wine bottle on top of the cabinet,0.9473684210526316,1.0000001192092896
